,bin_centres,average_attention
0,5.25,2.3748407144066983e-08
1,5.75,6.643815178296891e-08
2,6.25,2.1689718228118448e-07
3,6.75,1.8988974498324457e-06
4,7.25,1.5834454393161716e-05
5,7.75,5.701205965127631e-05
6,8.25,4.278379202774583e-05
7,8.75,8.454171855798793e-06
8,9.25,2.8951758094742614e-06
9,9.75,1.8746710465124162e-06
10,10.25,5.220516269879715e-06
11,10.75,3.40200394788609e-05
12,11.25,9.437202841157673e-05
13,11.75,8.338719681677134e-05
14,12.25,4.8738881524183774e-05
15,12.75,2.298890719635227e-05
16,13.25,1.4151322596374341e-05
17,13.75,1.2005281479049653e-05
18,14.25,1.1513584012167715e-05
19,14.75,1.1627712432918644e-05
20,15.25,1.3759044019914143e-05
21,15.75,1.9314789784681195e-05
22,16.25,3.553654809680475e-05
23,16.75,0.00010591793000112407
24,17.25,0.00023067456207889365
25,17.75,0.000433485515523828
26,18.25,0.0008149494259091532
27,18.75,0.0007652137398531025
28,19.25,0.000359019937214686
29,19.75,0.00016890644939064346
30,20.25,9.675687308511525e-05
31,20.75,6.502489259861181e-05
32,21.25,3.224703087760305e-05
33,21.75,3.169985247917282e-05
34,22.25,3.7295785503536966e-05
35,22.75,4.632728793538682e-05
36,23.25,6.100123445189004e-05
37,23.75,8.714154720320638e-05
38,24.25,0.0001323539601027321
39,24.75,0.000164687151034853
40,25.25,0.00015036550170297882
41,25.75,0.0001651800966900476
42,26.25,0.0001844280907408526
43,26.75,0.000260522732985593
44,27.25,0.0005451882084232556
45,27.75,0.0012010638927735448
46,28.25,0.002037212244959113
47,28.75,0.0042778197250623075
48,29.25,0.007846172499846114
49,29.75,0.017794395092391703
50,30.25,0.01831304965897665
51,30.75,0.0018491095789886056
52,31.25,0.0006810111844189424
53,31.75,0.0008812366565418713
54,32.25,0.0006843694244658122
55,32.75,0.0004962973724916401
56,33.25,0.0003675704648926186
57,33.75,0.0002875940647581172
58,34.25,0.00032340365464403944
59,34.75,0.00025609949298840225
60,35.25,0.0001623406885528158
61,35.75,0.00018845776638332784
62,36.25,0.0004191694482213475
63,36.75,0.00013203684454599966
64,37.25,3.3023981442355864e-05
65,37.75,1.604058289501276e-05
66,38.25,1.3270328708403104e-05
67,38.75,1.5066826578025452e-05
68,39.25,1.9226031129221886e-05
69,39.75,2.5406491440330854e-05
70,40.25,3.305485820603926e-05
71,40.75,4.369672576836239e-05
72,41.25,5.6621834504900335e-05
73,41.75,7.362126630760304e-05
74,42.25,9.540129680691244e-05
75,42.75,0.00011832738138319669
76,43.25,0.00011617628366652963
77,43.75,0.0001247222513816505
78,44.25,0.00014872675473684156
79,44.75,0.00018107439358992786
80,45.25,0.00021545076849503926
81,45.75,0.00025469905479597597
82,46.25,0.0002990400549480877
83,46.75,0.0003577446296241714
84,47.25,0.0004195239451276109
85,47.75,0.0004927329782612694
86,48.25,0.0005839381694811093
87,48.75,0.0006890388632898984
88,49.25,0.0008339836589659168
89,49.75,0.000899613421702899
90,50.25,0.0007391214804796829
91,50.75,0.0005810040336689165
92,51.25,0.0008107484447317148
93,51.75,0.003193494859399729
94,52.25,0.01661611677867158
95,52.75,0.0018916599285494534
96,53.25,7.967494412023122e-05
97,53.75,5.4862710559588434e-05
98,54.25,6.581673086499662e-05
99,54.75,9.006092625492525e-05
100,55.25,0.0001305573046797011
101,55.75,0.00018671669824465797
102,56.25,0.0002541708293529052
103,56.75,0.0003344096458108139
104,57.25,0.0004170421724496756
105,57.75,0.0005071196927744229
106,58.25,0.0006078626687702233
107,58.75,0.0007114477670407191
108,59.25,0.0008347092491020248
109,59.75,0.0009446261876856738
110,60.25,0.0010830756884541292
111,60.75,0.001216510773829183
112,61.25,0.0013352875682316352
113,61.75,0.001418556693505298
114,62.25,0.0015625264022879567
115,62.75,0.0015293127167360586
116,63.25,0.0015121271011763117
117,63.75,0.0017519922765998576
118,64.25,0.001967266592242182
119,64.75,0.002012163333974321
120,65.25,0.0018081979448719724
121,65.75,0.001609979609901428
122,66.25,0.001412601967270781
123,66.75,0.0011857022995753663
124,67.25,0.000853155595473476
125,67.75,0.0005096425824194895
126,68.25,0.00031770866490887523
127,68.75,0.00030290861622554396
128,69.25,0.00029391737983453826
129,69.75,0.00014019367189435373
130,70.25,6.421119087442445e-05
131,70.75,2.7794232784516705e-05
132,71.25,1.507810614955937e-05
133,71.75,1.423638917573465e-05
134,72.25,1.837449428235943e-05
135,72.75,2.1718406170808868e-05
136,73.25,2.6293614082529087e-05
137,73.75,2.8386462845252924e-05
138,74.25,4.350707985261297e-05
139,74.75,4.510134499899411e-05
140,75.25,4.1819465027744516e-05
141,75.75,6.025268559826956e-05
142,76.25,8.728545153740056e-05
143,76.75,0.00014429149906684837
144,77.25,0.0001548868441685566
145,77.75,0.00025157278224944044
146,78.25,0.000660795639659283
147,78.75,0.0015540779440610113
148,79.25,0.0008824789379893458
149,79.75,0.0004437596515055394
150,80.25,0.0002511984450998739
151,80.75,0.00011709034505745984
152,81.25,5.3067633232899525e-05
153,81.75,4.43626677536003e-05
154,82.25,7.908781759018361e-05
155,82.75,2.1543251003279624e-05
156,83.25,2.3158477470916145e-05
