,bin_centres,average_attention
0,5.25,1.8090827349475858e-11
1,5.75,1.7237489170423677e-10
2,6.25,4.047374931805682e-09
3,6.75,1.055419226045063e-07
4,7.25,1.1359842150586496e-06
5,7.75,2.255375707417744e-06
6,8.25,5.253002735059211e-07
7,8.75,3.995758359406892e-08
8,9.25,1.3972515476767987e-08
9,9.75,1.0377350856903538e-08
10,10.25,1.617077417059398e-08
11,10.75,3.6949189627376684e-08
12,11.25,8.86173952227408e-08
13,11.75,1.616619837393429e-07
14,12.25,2.3632075578464352e-07
15,12.75,3.1362732648317515e-07
16,13.25,4.202157919616406e-07
17,13.75,5.48309898996726e-07
18,14.25,6.807895985936997e-07
19,14.75,8.263660406918474e-07
20,15.25,9.905116497939787e-07
21,15.75,1.160915116441888e-06
22,16.25,1.3582851215640588e-06
23,16.75,5.578226963962841e-06
24,17.25,5.755516575686499e-05
25,17.75,0.00011450490009962904
26,18.25,0.00010807103546096128
27,18.75,6.773125104832977e-05
28,19.25,0.0001326414237689712
29,19.75,0.00010480416553341881
30,20.25,1.0406519056018076e-05
31,20.75,9.283728637997385e-06
32,21.25,6.826216717905703e-06
33,21.75,7.548582060214892e-06
34,22.25,8.636251575177445e-06
35,22.75,9.738346302033055e-06
36,23.25,1.112537129399241e-05
37,23.75,1.2735702929500186e-05
38,24.25,1.6296516394769266e-05
39,24.75,1.9011955402333884e-05
40,25.25,1.8085184399618368e-05
41,25.75,1.9052061874788198e-05
42,26.25,2.0468109783800955e-05
43,26.75,2.4526967386886714e-05
44,27.25,6.194076014674676e-05
45,27.75,0.0007488761435968324
46,28.25,0.0005587804129685572
47,28.75,0.0005397810157058405
48,29.25,0.001045339009198965
49,29.75,0.00794184068789427
50,30.25,0.018083188801107538
51,30.75,0.0007153254348848044
52,31.25,7.08322553264794e-05
53,31.75,7.117204195241678e-05
54,32.25,5.786925189041303e-05
55,32.75,4.799891455216156e-05
56,33.25,3.936925999578165e-05
57,33.75,3.4935512319173864e-05
58,34.25,4.830126923723194e-05
59,34.75,4.54886635650674e-05
60,35.25,3.235088355047066e-05
61,35.75,5.755633077385955e-05
62,36.25,0.0003311103766846742
63,36.75,0.004373701662946662
64,37.25,0.003794131820852578
65,37.75,0.0009101699684425082
66,38.25,0.00022840794631837742
67,38.75,8.281307192528323e-05
68,39.25,4.442096330521597e-05
69,39.75,3.0260128651127242e-05
70,40.25,2.4494360391216696e-05
71,40.75,2.3422345091382577e-05
72,41.25,2.5666270549185778e-05
73,41.75,2.8959649835748473e-05
74,42.25,3.3192766956492134e-05
75,42.75,3.8578139633780764e-05
76,43.25,3.94035899301892e-05
77,43.75,3.9938781500496745e-05
78,44.25,4.2101430108187444e-05
79,44.75,4.511889364866862e-05
80,45.25,4.763195275634992e-05
81,45.75,5.1029107976541833e-05
82,46.25,5.688933556928095e-05
83,46.75,6.259212497468769e-05
84,47.25,7.168270125381472e-05
85,47.75,8.494766121506425e-05
86,48.25,0.00010327519876568465
87,48.75,0.00012871618937373937
88,49.25,0.00015265932969031393
89,49.75,0.000165654026468209
90,50.25,0.0001454289513464023
91,50.75,0.00012307798989615493
92,51.25,0.00017774783899268781
93,51.75,0.0011377970079349397
94,52.25,0.004087499063363371
95,52.75,0.0004374581207003033
96,53.25,3.769535388762522e-05
97,53.75,5.117158512638882e-05
98,54.25,7.465534937088098e-05
99,54.75,9.491862835359913e-05
100,55.25,0.00010665398065265149
101,55.75,0.00011931444711477061
102,56.25,0.00013254689255019674
103,56.75,0.00014675949200565876
104,57.25,0.00016182603067215883
105,57.75,0.00018260831434902788
106,58.25,0.00020762231854275348
107,58.75,0.00023570120224649478
108,59.25,0.00026982938217744265
109,59.75,0.0003118800153949099
110,60.25,0.0003386905772794405
111,60.75,0.00035717374638475155
112,61.25,0.00041576698149699585
113,61.75,0.00047459407736008633
114,62.25,0.0005346225091846885
115,62.75,0.0005797629597962331
116,63.25,0.0006380741398976553
117,63.75,0.0007830307952037415
118,64.25,0.0009878081185076954
119,64.75,0.0012269303818942868
120,65.25,0.001369791025632435
121,65.75,0.0014434011807935208
122,66.25,0.0015499695206096366
123,66.75,0.0015470024012387922
124,67.25,0.001408338604392804
125,67.75,0.0012025859109196454
126,68.25,0.0010277750269457296
127,68.75,0.0009804629784719982
128,69.25,0.0010371331976393777
129,69.75,0.0010555879028843443
130,70.25,0.001151746834913062
131,70.75,0.000903473508046544
132,71.25,0.0004247937945382132
133,71.75,0.00044216850327870566
134,72.25,0.0005199877155435013
135,72.75,0.000357601042991956
136,73.25,0.000293254225176317
137,73.75,0.0004083283878481945
138,74.25,0.0006449182951517794
139,74.75,0.000572435343447725
140,75.25,0.00034961883105851964
141,75.75,0.00032709128208654266
142,76.25,0.0004202882643053127
143,76.75,0.0005837879055615273
144,77.25,0.0009393193716903628
145,77.75,0.0015807911958259898
146,78.25,0.0018695902931684704
147,78.75,0.0029078745383909455
148,79.25,0.0018106218971948498
149,79.75,0.0015926601962757076
150,80.25,0.0017645795822802005
151,80.75,0.0014385384024810223
152,81.25,0.0014030100618605587
153,81.75,0.0022583402933620492
154,82.25,0.002794395658804765
155,82.75,0.0012316750767533639
156,83.25,0.00028994451515700585
157,83.75,0.00010995684167423456
158,84.25,0.00011594218302648411
159,84.75,0.00011157788391417385
160,85.25,0.00012047894049298129
161,85.75,0.00018800524061768242
162,86.25,0.00014266758638119975
