,bin_centres,average_attention
69,39.75,5.088852926009519e-08
70,40.25,4.880196392354561e-08
71,40.75,4.378902752837059e-08
72,41.25,4.137638138967628e-08
73,41.75,4.267496281545873e-08
74,42.25,3.8766598087101414e-08
75,42.75,3.551048854300583e-08
76,43.25,3.5380133515410545e-08
77,43.75,3.095940421250951e-08
78,44.25,3.00774176576984e-08
79,44.75,2.767082558435291e-08
80,45.25,2.9270237112264552e-08
81,45.75,3.071389837815074e-08
82,46.25,4.1776878742872364e-08
83,46.75,5.8623275512299986e-08
84,47.25,9.280364331394427e-08
85,47.75,1.465802679231397e-07
86,48.25,2.341555434814283e-07
87,48.75,3.5389017657397573e-07
88,49.25,5.040354969517734e-07
89,49.75,6.696531566391917e-07
90,50.25,8.340795342196446e-07
91,50.75,9.750751805022274e-07
92,51.25,1.0603995095202515e-06
93,51.75,1.0875888532588648e-06
94,52.25,1.1118117757371636e-06
95,52.75,1.3103651741741719e-06
96,53.25,1.7781119124437281e-06
97,53.75,2.257674853203775e-06
98,54.25,2.580638444560223e-06
99,54.75,2.316449857377964e-06
100,55.25,2.2976634188004767e-06
101,55.75,2.4933982314162233e-06
102,56.25,2.8534749242881995e-06
103,56.75,3.3878035890731974e-06
104,57.25,4.095405697701672e-06
105,57.75,4.98507709631388e-06
106,58.25,6.108324090061445e-06
107,58.75,7.479623114059467e-06
108,59.25,9.034284257959775e-06
109,59.75,1.0778819970675647e-05
110,60.25,1.2723220944880862e-05
111,60.75,1.4876957402852914e-05
112,61.25,1.736126039680663e-05
113,61.75,2.0244685729605387e-05
114,62.25,2.347702009725203e-05
115,62.75,2.680593040846476e-05
116,63.25,3.001795781973785e-05
117,63.75,3.341191166538743e-05
118,64.25,3.726944832481191e-05
119,64.75,4.209487572251726e-05
120,65.25,4.818812061297244e-05
121,65.75,5.526002915608799e-05
122,66.25,6.243744750598123e-05
123,66.75,6.909574570797341e-05
124,67.25,7.550800527565017e-05
125,67.75,8.057590137594381e-05
126,68.25,8.46856653326876e-05
127,68.75,8.777442147153266e-05
128,69.25,9.026883077136702e-05
129,69.75,9.525362769666813e-05
130,70.25,9.774579860490307e-05
131,70.75,0.00010023674567990906
132,71.25,0.00010787040104435226
133,71.75,9.351385728814523e-05
134,72.25,7.580475375328739e-05
135,72.75,6.375699835022992e-05
136,73.25,5.338188482067373e-05
137,73.75,4.334297681241249e-05
138,74.25,3.560741449360102e-05
139,74.75,3.087312925928164e-05
140,75.25,2.739299454039496e-05
141,75.75,2.421936295328992e-05
142,76.25,2.0717059579839995e-05
143,76.75,1.7910082034182435e-05
144,77.25,1.617315450386363e-05
145,77.75,1.4120546809935902e-05
146,78.25,1.134438829026923e-05
147,78.75,9.555282548420293e-06
148,79.25,9.989305396373674e-06
149,79.75,1.1259476934958634e-05
150,80.25,1.2070729318207341e-05
151,80.75,1.259277483870332e-05
152,81.25,1.3015738315407604e-05
