,bin_centres,average_attention
102,56.25,3.6484222633737512e-06
103,56.75,3.5096910020816995e-06
104,57.25,3.4687466424047783e-06
105,57.75,3.36267204536484e-06
106,58.25,3.3198689948726427e-06
107,58.75,3.2638452632481933e-06
108,59.25,3.1692003705606557e-06
109,59.75,3.1516570029257883e-06
110,60.25,3.0792990638342245e-06
111,60.75,2.9365689074879765e-06
112,61.25,2.839620811470525e-06
113,61.75,2.8711872578508895e-06
114,62.25,2.8895104981734696e-06
115,62.75,2.8157759543836733e-06
116,63.25,2.7780982310259867e-06
117,63.75,2.745407111455948e-06
118,64.25,2.7093329861821668e-06
119,64.75,2.772655141952646e-06
120,65.25,2.864241759757025e-06
121,65.75,2.9670321055840737e-06
122,66.25,3.149858166166506e-06
123,66.75,3.3629303105452585e-06
124,67.25,3.6226319228172384e-06
125,67.75,3.956825603889324e-06
126,68.25,4.413117482444913e-06
127,68.75,4.958318317090403e-06
128,69.25,5.497496679969209e-06
129,69.75,5.805695829846743e-06
130,70.25,5.927536131453206e-06
131,70.75,5.8577121216593974e-06
132,71.25,5.6749703420090566e-06
133,71.75,5.688981506332332e-06
134,72.25,5.754420342746512e-06
135,72.75,5.865355212651074e-06
136,73.25,6.187008808467472e-06
137,73.75,7.137842944310399e-06
138,74.25,9.572017643029167e-06
139,74.75,1.3830186784295065e-05
140,75.25,2.370676640011797e-05
141,75.75,4.5476055087030596e-05
142,76.25,3.38038681253929e-05
143,76.75,1.3590964778203606e-05
144,77.25,7.531125284513541e-06
145,77.75,5.843817926095946e-06
146,78.25,5.140408008022686e-06
147,78.75,4.60876760342791e-06
148,79.25,4.325278888688634e-06
149,79.75,4.235617178860697e-06
150,80.25,4.199377416808256e-06
151,80.75,4.142072316324312e-06
152,81.25,4.077010986549463e-06
153,81.75,4.028177123800017e-06
154,82.25,3.970937271980687e-06
155,82.75,3.7631679081114664e-06
156,83.25,3.6719609470729004e-06
157,83.75,3.7356485424733868e-06
158,84.25,3.7573651911633082e-06
159,84.75,3.7755925750565473e-06
160,85.25,3.7658991759507444e-06
161,85.75,3.7548085177862684e-06
162,86.25,3.6722332145510595e-06
163,86.75,3.54328141902385e-06
164,87.25,3.515918764955854e-06
165,87.75,3.5479119924949335e-06
166,88.25,3.5742794422432103e-06
167,88.75,3.4043303295839377e-06
168,89.25,3.187004311814652e-06
169,89.75,3.108449067803243e-06
170,90.25,3.1197556317299377e-06
171,90.75,3.257844354351072e-06
172,91.25,3.3483458494854227e-06
173,91.75,3.5600840158917514e-06
174,92.25,3.5797400809530534e-06
175,92.75,3.4100176367988817e-06
176,93.25,3.285901435010217e-06
177,93.75,3.0696556284274272e-06
178,94.25,2.7715050085310448e-06
179,94.75,2.569611127705193e-06
180,95.25,2.474136803184346e-06
181,95.75,2.52011746267935e-06
182,96.25,2.5803271012587076e-06
183,96.75,2.5772109045060114e-06
184,97.25,2.537418022451185e-06
185,97.75,2.40008177060893e-06
186,98.25,2.397436046621709e-06
187,98.75,2.3355254663636755e-06
188,99.25,2.3814873028577232e-06
189,99.75,2.4736867235476025e-06
190,100.25,2.4874426402174336e-06
191,100.75,2.4991195982486144e-06
192,101.25,2.5569973972948268e-06
193,101.75,2.768882732691357e-06
194,102.25,2.9542929105434374e-06
195,102.75,3.1693570366753776e-06
196,103.25,3.219535295438933e-06
197,103.75,3.483675240579303e-06
198,104.25,3.6697294257569e-06
199,104.75,3.7744531432559403e-06
200,105.25,3.8012577414026353e-06
201,105.75,3.808343632309995e-06
202,106.25,4.077033133834277e-06
203,106.75,4.154950592314412e-06
204,107.25,4.442223361889608e-06
205,107.75,4.331055285098294e-06
206,108.25,4.149850947856266e-06
207,108.75,3.944371109750259e-06
208,109.25,4.247718346615725e-06
209,109.75,4.569140178952244e-06
210,110.25,4.8780525306135715e-06
211,110.75,5.015608792827499e-06
212,111.25,5.406265022691106e-06
213,111.75,6.371377486310242e-06
214,112.25,8.523760874575787e-06
215,112.75,1.5387572389523186e-05
216,113.25,3.260374494120979e-05
217,113.75,3.762813682949871e-05
218,114.25,3.41133069607171e-05
219,114.75,2.607980778438706e-05
220,115.25,2.4579448903059134e-05
221,115.75,2.729393682673567e-05
222,116.25,3.762124868993755e-05
223,116.75,6.009368580633134e-05
224,117.25,8.804963495871371e-05
225,117.75,0.00012390769660279894
226,118.25,0.00013134883301069126
227,118.75,0.00011330320099852946
228,119.25,9.56633968726051e-05
229,119.75,7.84970872656526e-05
230,120.25,6.966340744357135e-05
231,120.75,7.27349076131708e-05
232,121.25,5.94272547107575e-05
233,121.75,5.177511478945518e-05
234,122.25,5.4755470701985994e-05
235,122.75,5.343092776900015e-05
236,123.25,4.914772103239413e-05
237,123.75,4.663624924733723e-05
238,124.25,3.7170963393192395e-05
239,124.75,3.2805146097860984e-05
240,125.25,3.089289250947934e-05
241,125.75,3.4153392416145304e-05
242,126.25,3.2951120697449346e-05
243,126.75,2.761509847920938e-05
244,127.25,2.3656051027434792e-05
245,127.75,2.2550471263277014e-05
246,128.25,2.2844581192731454e-05
247,128.75,2.176413419793984e-05
248,129.25,2.036780594302979e-05
249,129.75,1.9911463328068366e-05
250,130.25,2.237872046003136e-05
251,130.75,2.2060517129303472e-05
252,131.25,2.3296306955395362e-05
253,131.75,2.364386873625982e-05
254,132.25,2.3026848122956826e-05
255,132.75,2.2351397808844446e-05
256,133.25,1.9905093284519456e-05
257,133.75,1.763448884360932e-05
258,134.25,1.8826697807683773e-05
259,134.75,2.0784191056651266e-05
260,135.25,2.106534763402464e-05
261,135.75,2.2794914906674986e-05
262,136.25,2.286362039974438e-05
263,136.75,2.402036427491654e-05
264,137.25,2.1351991753241667e-05
265,137.75,2.472523846814355e-05
266,138.25,2.54465978844097e-05
267,138.75,3.3523912874991925e-05
268,139.25,2.8252288302849354e-05
269,139.75,2.479541788373121e-05
270,140.25,2.4757675085783326e-05
271,140.75,2.527948011060599e-05
272,141.25,2.9548117392473068e-05
273,141.75,3.7318876946742454e-05
274,142.25,4.1377187847525194e-05
275,142.75,4.387042639297446e-05
276,143.25,3.160260140842422e-05
277,143.75,3.01952454451312e-05
278,144.25,3.1445299602838776e-05
279,144.75,4.058892486705091e-05
280,145.25,6.581740324665738e-05
281,145.75,5.6845816576483943e-05
282,146.25,4.634667686140842e-05
283,146.75,2.86345826519267e-05
284,147.25,2.325555131729675e-05
285,147.75,2.4362770116086653e-05
286,148.25,2.5578138150679445e-05
287,148.75,2.793993236926436e-05
288,149.25,2.8528113033824558e-05
289,149.75,3.206361914203716e-05
290,150.25,3.364379184659162e-05
291,150.75,3.7742437999517486e-05
292,151.25,4.1307160856811475e-05
293,151.75,4.2838245814124385e-05
294,152.25,4.452704699537178e-05
295,152.75,4.414438008325943e-05
296,153.25,4.737268266517527e-05
297,153.75,5.3314441515779664e-05
298,154.25,5.8655164972079156e-05
299,154.75,6.151708235021828e-05
300,155.25,6.739865050569043e-05
301,155.75,7.835302407447882e-05
302,156.25,8.118475465211636e-05
303,156.75,0.00012659180063484548
304,157.25,0.00010796652341937311
305,157.75,0.00012622043405391406
306,158.25,9.722021278615768e-05
307,158.75,0.00010189474447289186
308,159.25,0.00010010618593294851
309,159.75,0.00010587351383282104
310,160.25,0.00011352147094512503
311,160.75,0.00011410300790158304
312,161.25,0.00010839456731754462
313,161.75,0.00010255297971535924
314,162.25,0.00011242702266180704
315,162.75,0.00013295550275441707
316,163.25,0.00010990979333390129
317,163.75,0.00011793908277358826
318,164.25,0.0001423986896117528
319,164.75,0.00013568792887854548
320,165.25,0.0001259244698428959
321,165.75,0.00011864981946100275
322,166.25,0.00011870805077246923
323,166.75,0.00012858045545882082
324,167.25,0.00012462995961634137
325,167.75,0.00013738310841634048
326,168.25,0.000117031927251724
327,168.75,0.00012078227473905332
328,169.25,0.00012786231884744564
329,169.75,0.0001160561910360229
330,170.25,0.00013104566938121174
331,170.75,0.00011900867273668634
332,171.25,0.00011910410756878036
333,171.75,0.0001284464574273596
334,172.25,0.00013203199338867648
335,172.75,0.0001296695739690764
336,173.25,0.00014133543589165602
337,173.75,0.00014109699431920508
338,174.25,0.00012467625922540646
339,174.75,0.00014014284020421463
340,175.25,0.0001371369887723894
341,175.75,0.00014302923326452123
342,176.25,0.00014880320167015866
343,176.75,0.00015594121620457892
344,177.25,0.00016776702164584395
345,177.75,0.00017507910594969175
346,178.25,0.00018484391766865734
347,178.75,0.00019222530274656764
348,179.25,0.00022334960244584572
349,179.75,0.0002212211046574398
350,180.25,0.00022256124107284235
351,180.75,0.00023283433771176593
352,181.25,0.00023338549194698889
353,181.75,0.000234536039601803
354,182.25,0.000236284165578921
355,182.75,0.00024802273376973554
356,183.25,0.00025102269890929014
357,183.75,0.00028019410216651325
358,184.25,0.00027904584850106266
359,184.75,0.0003033938643197954
360,185.25,0.00029097347036935044
361,185.75,0.0002976582055451717
362,186.25,0.000299562979391524
363,186.75,0.0003200518118526741
364,187.25,0.00035891545345385353
365,187.75,0.0003754442790645574
366,188.25,0.0004157259338663561
367,188.75,0.0004388886304370442
368,189.25,0.0004776843261801874
369,189.75,0.0005148093588223934
370,190.25,0.000547964791600525
371,190.75,0.0005760760427837348
372,191.25,0.0005705918935203859
373,191.75,0.0006072963935769125
374,192.25,0.0006529506112701236
375,192.75,0.000706418199435248
376,193.25,0.0007943033015670002
377,193.75,0.0007914868515648957
378,194.25,0.0008372343479412875
379,194.75,0.0009389173458711506
380,195.25,0.0010916751069907599
381,195.75,0.001139721671799674
382,196.25,0.00133802795620811
383,196.75,0.0015539379264166485
384,197.25,0.0017670653049953848
385,197.75,0.0019503110491443814
386,198.25,0.0020906286681222977
387,198.75,0.002217102016694158
388,199.25,0.0027531898973216008
389,199.75,0.003775046062842817
