,bin_centres,average_attention
183,96.75,3.47359077981779e-06
184,97.25,3.145180969640956e-06
185,97.75,2.899527507738191e-06
186,98.25,2.783894593271064e-06
187,98.75,2.663510958360537e-06
188,99.25,2.4934176413720436e-06
189,99.75,2.3799372707681472e-06
190,100.25,2.279504299203448e-06
191,100.75,2.1345814963204284e-06
192,101.25,2.123011507520886e-06
193,101.75,2.2391103190174605e-06
194,102.25,2.2935742349319987e-06
195,102.75,2.42988953084186e-06
196,103.25,2.42890973076292e-06
197,103.75,2.5368233685780043e-06
198,104.25,2.7810340769742447e-06
199,104.75,3.1521266053180153e-06
200,105.25,3.0812572667636805e-06
201,105.75,2.8361631626119453e-06
202,106.25,2.871095597191084e-06
203,106.75,2.8639160697165877e-06
204,107.25,2.937030186516686e-06
205,107.75,2.9455205304769127e-06
206,108.25,3.012546179949473e-06
207,108.75,3.120750369129636e-06
208,109.25,3.2485097446266054e-06
209,109.75,3.3320956402672775e-06
210,110.25,3.1484719394894554e-06
211,110.75,3.1417457922560966e-06
212,111.25,3.1797785009968138e-06
213,111.75,3.4551835345305892e-06
214,112.25,4.4358141786526045e-06
215,112.75,7.810988730117305e-06
216,113.25,1.2254997495763804e-05
217,113.75,1.2770027697076152e-05
218,114.25,1.4500299815973311e-05
219,114.75,1.5852942445558223e-05
220,115.25,1.2902250456034128e-05
221,115.75,1.2037444995837911e-05
222,116.25,1.5952862225363958e-05
223,116.75,2.5895598643096505e-05
224,117.25,3.510127854927479e-05
225,117.75,5.023401396941899e-05
226,118.25,5.123842968423319e-05
227,118.75,5.222306543406494e-05
228,119.25,6.396087844823153e-05
229,119.75,7.664573932039863e-05
230,120.25,6.322691457651806e-05
231,120.75,5.923445432446407e-05
232,121.25,5.759556317489333e-05
233,121.75,5.3420233532463855e-05
234,122.25,4.052907018369001e-05
235,122.75,3.62941178448641e-05
236,123.25,3.711300982557779e-05
237,123.75,3.097261560451016e-05
238,124.25,2.9085402243097842e-05
239,124.75,2.342468554870621e-05
240,125.25,2.4377667559495553e-05
241,125.75,3.576572425254878e-05
242,126.25,2.5564285963735528e-05
243,126.75,1.7711176753212402e-05
244,127.25,1.739426394494135e-05
245,127.75,1.446286717667288e-05
246,128.25,1.2536097411183347e-05
247,128.75,1.1131533067680537e-05
248,129.25,1.1189438475968342e-05
249,129.75,1.1167261734849355e-05
250,130.25,1.1806500613553182e-05
251,130.75,1.059373068006695e-05
252,131.25,9.183279550378433e-06
253,131.75,9.1638048195358e-06
254,132.25,9.696669586202799e-06
255,132.75,1.0237288036136467e-05
256,133.25,9.182788314019632e-06
257,133.75,9.294148209818187e-06
258,134.25,1.075991449909919e-05
259,134.75,1.4133394749298563e-05
260,135.25,1.7293389452097276e-05
261,135.75,1.7025043490792382e-05
262,136.25,1.5667738725728288e-05
263,136.75,1.5789472035634912e-05
264,137.25,1.4299132099892534e-05
265,137.75,1.469428478150591e-05
266,138.25,1.6192677483608496e-05
267,138.75,1.787098547162941e-05
268,139.25,1.6260463788468025e-05
269,139.75,1.7120928986649216e-05
270,140.25,1.8258749850858022e-05
271,140.75,1.7033765527106147e-05
272,141.25,1.4537820424530351e-05
273,141.75,1.1991811043982136e-05
274,142.25,1.1943291185945961e-05
275,142.75,1.2546900806726332e-05
276,143.25,1.3261345002234757e-05
277,143.75,1.6133509477176995e-05
